  Dec    Oct    Hex   Char
   33    041   0x21      !
   34    042   0x22      "
   35    043   0x23      #
   36    044   0x24      $
   37    045   0x25      %
   38    046   0x26      &
   39    047   0x27      '
   40    050   0x28      (
   41    051   0x29      )
   42    052   0x2a      *
   43    053   0x2b      +
   44    054   0x2c      ,
   45    055   0x2d      -
   46    056   0x2e      .
   47    057   0x2f      /
   48    060   0x30      0
   49    061   0x31      1
   50    062   0x32      2
   51    063   0x33      3
   52    064   0x34      4
   53    065   0x35      5
   54    066   0x36      6
   55    067   0x37      7
   56    070   0x38      8
   57    071   0x39      9
   58    072   0x3a      :
   59    073   0x3b      ;
   60    074   0x3c      <
   61    075   0x3d      =
   62    076   0x3e      >
   63    077   0x3f      ?
   64   0100   0x40      @
   65   0101   0x41      A
   66   0102   0x42      B
   67   0103   0x43      C
   68   0104   0x44      D
   69   0105   0x45      E
   70   0106   0x46      F
   71   0107   0x47      G
   72   0110   0x48      H
   73   0111   0x49      I
   74   0112   0x4a      J
   75   0113   0x4b      K
   76   0114   0x4c      L
   77   0115   0x4d      M
   78   0116   0x4e      N
   79   0117   0x4f      O
   80   0120   0x50      P
   81   0121   0x51      Q
   82   0122   0x52      R
   83   0123   0x53      S
   84   0124   0x54      T
   85   0125   0x55      U
   86   0126   0x56      V
   87   0127   0x57      W
   88   0130   0x58      X
   89   0131   0x59      Y
   90   0132   0x5a      Z
   91   0133   0x5b      [
   92   0134   0x5c      \
   93   0135   0x5d      ]
   94   0136   0x5e      ^
   95   0137   0x5f      _
   96   0140   0x60      `
   97   0141   0x61      a
   98   0142   0x62      b
   99   0143   0x63      c
  100   0144   0x64      d
  101   0145   0x65      e
  102   0146   0x66      f
  103   0147   0x67      g
  104   0150   0x68      h
  105   0151   0x69      i
  106   0152   0x6a      j
  107   0153   0x6b      k
  108   0154   0x6c      l
  109   0155   0x6d      m
  110   0156   0x6e      n
  111   0157   0x6f      o
  112   0160   0x70      p
  113   0161   0x71      q
  114   0162   0x72      r
  115   0163   0x73      s
  116   0164   0x74      t
  117   0165   0x75      u
  118   0166   0x76      v
  119   0167   0x77      w
  120   0170   0x78      x
  121   0171   0x79      y
  122   0172   0x7a      z
  123   0173   0x7b      {
  124   0174   0x7c      |
  125   0175   0x7d      }
  126   0176   0x7e      ~
